guess,compare,ans
9713,0A2B,3476
3695,1A1B,3476
9062,0A1B,3476
0642,0A2B,3476
7342,0A3B,3476
7320,0A2B,3476
4760,0A3B,3476
9604,0A2B,3476
3209,1A0B,3476
3012,1A0B,3476
3410,2A0B,3476
9374,1A2B,3476
0749,0A2B,3476
7630,0A3B,3476
4076,2A1B,3476
6240,0A2B,3476
2703,0A2B,3476
0853,0A1B,3476
8356,1A1B,3476
4503,0A2B,3476
4951,0A1B,3476
1509,0A0B,3476
9543,0A2B,3476
4738,0A3B,3476
6847,0A3B,3476
6842,0A2B,3476
3672,2A1B,3476
6274,1A2B,3476
7268,0A2B,3476
3248,1A1B,3476
7346,1A3B,3476
4736,1A3B,3476
6743,0A4B,3476
4763,0A4B,3476
6347,0A4B,3476
6734,0A4B,3476
6374,1A3B,3476
4673,1A3B,3476
3674,2A2B,3476
3476,4A0B,3476
