guess,compare,ans
7619,0A1B,8135
9187,1A1B,8135
0813,0A3B,8135
1350,0A3B,8135
0581,0A3B,8135
4581,0A3B,8135
8941,1A1B,8135
1647,0A1B,8135
4126,1A0B,8135
1946,0A1B,8135
2419,0A1B,8135
4201,0A1B,8135
0341,0A2B,8135
8704,1A0B,8135
8094,1A0B,8135
8903,1A1B,8135
9847,0A1B,8135
4738,1A1B,8135
9248,0A1B,8135
8297,1A0B,8135
8079,1A0B,8135
4098,0A1B,8135
5489,0A2B,8135
3968,0A2B,8135
6314,0A2B,8135
6253,0A2B,8135
3728,0A2B,8135
3120,1A1B,8135
6532,1A1B,8135
3869,0A2B,8135
6029,0A0B,8135
3458,0A3B,8135
8734,2A0B,8135
7315,1A2B,8135
3178,1A2B,8135
8437,2A0B,8135
1584,0A3B,8135
8315,2A2B,8135
3815,1A3B,8135
8135,4A0B,8135
