guess,compare,ans
9352,0A1B,2460
3192,0A1B,2460
2413,2A0B,2460
9642,0A3B,2460
2634,1A2B,2460
6325,0A2B,2460
5072,0A2B,2460
5623,0A2B,2460
9613,0A1B,2460
3901,0A1B,2460
0194,0A2B,2460
1465,2A0B,2460
1286,0A2B,2460
6913,0A1B,2460
8196,0A1B,2460
2681,1A1B,2460
1729,0A1B,2460
5792,0A1B,2460
2578,1A0B,2460
8215,0A1B,2460
8321,0A1B,2460
1385,0A0B,2460
0328,0A2B,2460
7240,1A2B,2460
4972,0A2B,2460
0726,0A3B,2460
7960,2A0B,2460
0247,0A3B,2460
0276,0A3B,2460
6704,0A3B,2460
2647,1A2B,2460
7260,2A1B,2460
7920,1A1B,2460
2746,1A2B,2460
7942,0A2B,2460
6092,0A3B,2460
7296,0A2B,2460
6940,1A2B,2460
7049,0A2B,2460
2460,4A0B,2460
