guess,compare,ans
7413,0A2B,6130
0723,0A2B,6130
9038,1A1B,6130
5328,0A1B,6130
8356,0A2B,6130
6018,1A2B,6130
1678,0A2B,6130
3615,0A3B,6130
6583,1A1B,6130
3745,0A1B,6130
6574,1A0B,6130
8576,0A1B,6130
7581,0A1B,6130
5317,0A2B,6130
8705,0A1B,6130
5783,0A1B,6130
7348,0A1B,6130
4283,0A1B,6130
4862,0A1B,6130
7684,0A1B,6130
6798,1A0B,6130
6298,1A0B,6130
5926,0A1B,6130
7295,0A0B,6130
6452,1A0B,6130
4582,0A0B,6130
2514,0A1B,6130
4532,1A0B,6130
6523,1A1B,6130
0631,1A3B,6130
0361,0A4B,6130
6310,2A2B,6130
3610,1A3B,6130
1360,1A3B,6130
0316,0A4B,6130
6130,4A0B,6130
