guess,compare,ans
8951,1A2B,5281
9085,1A1B,5281
4528,0A3B,5281
2465,0A2B,5281
1956,0A2B,5281
0319,0A1B,5281
1983,1A1B,5281
8092,0A2B,5281
0815,0A3B,5281
1083,1A1B,5281
6508,0A2B,5281
5649,1A0B,5281
9265,1A1B,5281
9142,0A2B,5281
4502,0A2B,5281
2174,0A2B,5281
7518,0A3B,5281
7481,2A0B,5281
4725,0A2B,5281
3417,0A1B,5281
4781,2A0B,5281
2387,1A1B,5281
1236,1A1B,5281
5629,1A1B,5281
0257,1A1B,5281
2038,0A2B,5281
0215,1A2B,5281
2017,0A2B,5281
2957,0A2B,5281
9467,0A0B,5281
0285,2A1B,5281
3850,0A2B,5281
1032,0A2B,5281
8051,1A2B,5281
1503,0A2B,5281
3825,0A3B,5281
1835,0A3B,5281
2351,1A2B,5281
5218,2A2B,5281
5281,4A0B,5281
