guess,compare,ans
2630,0A2B,9286
8163,0A2B,9286
9823,1A2B,9286
9327,1A1B,9286
3256,2A0B,9286
6938,0A3B,9286
4368,0A2B,9286
8260,1A2B,9286
0982,1A2B,9286
2609,0A3B,9286
5260,1A1B,9286
0247,1A0B,9286
6704,0A1B,9286
6471,0A1B,9286
6137,0A1B,9286
5736,1A0B,9286
3685,1A1B,9286
0468,0A2B,9286
4095,0A1B,9286
0942,0A2B,9286
7903,0A1B,9286
7239,1A1B,9286
9182,2A1B,9286
3128,0A2B,9286
1395,0A1B,9286
1985,1A1B,9286
5386,2A0B,9286
4531,0A0B,9286
6078,0A2B,9286
0289,2A1B,9286
9207,2A0B,9286
2867,0A3B,9286
9287,3A0B,9286
7098,0A2B,9286
2679,0A3B,9286
7690,0A2B,9286
2786,2A1B,9286
7298,1A2B,9286
8726,1A2B,9286
9286,4A0B,9286
