guess,compare,ans
1568,0A2B,6874
2580,0A1B,6874
5821,1A0B,6874
5802,1A0B,6874
6258,1A1B,6874
6453,1A1B,6874
4293,0A1B,6874
7293,0A1B,6874
3274,2A0B,6874
7495,0A2B,6874
1765,0A2B,6874
5143,0A1B,6874
4183,0A2B,6874
3098,0A1B,6874
6083,1A1B,6874
8349,0A2B,6874
3812,1A0B,6874
3172,1A0B,6874
7923,0A1B,6874
3872,2A0B,6874
1367,0A2B,6874
6439,1A1B,6874
7368,0A3B,6874
4738,0A3B,6874
8234,1A1B,6874
3618,0A2B,6874
2063,0A1B,6874
3692,0A1B,6874
9638,0A2B,6874
4873,2A1B,6874
4037,0A2B,6874
5834,2A0B,6874
8306,0A2B,6874
1387,0A2B,6874
1326,0A1B,6874
8631,0A2B,6874
0364,1A1B,6874
6931,1A0B,6874
4631,0A2B,6874
6874,4A0B,6874
