guess,compare,ans
1289,0A3B,2815
7821,1A2B,2815
4721,0A2B,2815
6270,0A1B,2815
0273,0A1B,2815
3820,1A1B,2815
0642,0A1B,2815
4082,0A2B,2815
7481,0A2B,2815
7125,1A2B,2815
5728,0A3B,2815
7058,0A2B,2815
1987,0A2B,2815
1932,0A2B,2815
7031,0A1B,2815
7032,0A1B,2815
7283,0A2B,2815
2854,2A1B,2815
7425,1A1B,2815
9721,0A2B,2815
1263,0A2B,2815
0923,0A1B,2815
0429,0A1B,2815
9205,1A1B,2815
7890,1A0B,2815
6879,1A0B,2815
4869,1A0B,2815
0698,0A1B,2815
6083,0A1B,2815
8236,0A2B,2815
4298,0A2B,2815
0458,0A2B,2815
4072,0A1B,2815
1704,0A1B,2815
1764,0A1B,2815
6847,1A0B,2815
4986,0A1B,2815
4938,0A1B,2815
6849,1A0B,2815
2815,4A0B,2815
