guess,compare,ans
5927,0A3B,0275
9715,1A1B,0275
1647,0A1B,0275
6547,0A2B,0275
4927,0A2B,0275
0124,1A1B,0275
4067,0A2B,0275
0849,1A0B,0275
4598,0A1B,0275
4925,1A1B,0275
8935,1A0B,0275
8695,1A0B,0275
5268,1A1B,0275
8690,0A1B,0275
8940,0A1B,0275
0694,1A0B,0275
7469,0A1B,0275
8746,0A1B,0275
4697,0A1B,0275
4097,0A2B,0275
2954,0A2B,0275
6519,0A1B,0275
6958,0A1B,0275
6395,1A0B,0275
3096,0A1B,0275
3604,0A1B,0275
3401,0A1B,0275
0147,1A1B,0275
6479,1A0B,0275
7489,0A1B,0275
9827,0A2B,0275
1285,2A0B,0275
5870,1A2B,0275
6570,1A2B,0275
0256,2A1B,0275
8605,1A1B,0275
4786,0A1B,0275
1478,1A0B,0275
8472,1A1B,0275
0275,4A0B,0275
