guess,compare,ans
8906,1A1B,5709
9875,0A3B,5709
5917,1A2B,5709
7851,0A2B,5709
3521,0A1B,5709
7325,0A2B,5709
8472,0A1B,5709
7429,1A1B,5709
9046,0A2B,5709
7920,0A3B,5709
7291,0A2B,5709
3295,0A2B,5709
9724,1A1B,5709
9768,1A1B,5709
7390,0A3B,5709
3409,2A0B,5709
1690,0A2B,5709
6450,0A2B,5709
3690,0A2B,5709
4926,0A1B,5709
2196,0A1B,5709
3961,0A1B,5709
3671,0A1B,5709
6971,0A2B,5709
6018,0A1B,5709
0961,0A2B,5709
1037,0A2B,5709
4831,0A0B,5709
6702,2A0B,5709
2596,0A2B,5709
6207,1A1B,5709
9205,1A2B,5709
6209,2A0B,5709
0725,1A2B,5709
2605,1A1B,5709
0972,0A3B,5709
0725,1A2B,5709
7562,0A2B,5709
0529,1A2B,5709
5709,4A0B,5709
