guess,compare,ans
0742,0A3B,3420
2417,1A1B,3420
4075,0A2B,3420
5842,0A2B,3420
5304,0A3B,3420
3547,1A1B,3420
5381,0A1B,3420
5312,0A2B,3420
1924,1A1B,3420
8469,1A0B,3420
8690,1A0B,3420
8901,0A1B,3420
9182,0A1B,3420
8201,0A2B,3420
5701,0A1B,3420
5310,1A1B,3420
0654,0A2B,3420
0963,0A2B,3420
8064,0A2B,3420
7410,2A0B,3420
7680,1A0B,3420
9867,0A0B,3420
7685,0A0B,3420
0836,0A2B,3420
0312,0A3B,3420
1204,0A3B,3420
3021,2A1B,3420
1243,0A3B,3420
3402,2A2B,3420
3042,1A3B,3420
4302,0A4B,3420
0432,1A3B,3420
2403,1A3B,3420
3204,1A3B,3420
3420,4A0B,3420
