guess,compare,ans
1497,0A1B,5730
1943,0A1B,5730
9347,0A2B,5730
8703,1A2B,5730
0789,1A1B,5730
7856,0A2B,5730
8217,0A1B,5730
1072,0A2B,5730
0437,1A2B,5730
1347,0A2B,5730
6457,0A2B,5730
1734,2A0B,5730
0739,2A1B,5730
7031,1A2B,5730
1723,1A1B,5730
0521,0A2B,5730
8235,1A1B,5730
0512,0A2B,5730
9452,0A1B,5730
4852,0A1B,5730
7825,0A2B,5730
4580,1A1B,5730
2340,1A1B,5730
5820,2A0B,5730
5236,2A0B,5730
2793,1A1B,5730
2043,0A2B,5730
5632,2A0B,5730
5082,1A1B,5730
5403,1A2B,5730
5243,1A1B,5730
2407,0A2B,5730
9602,0A1B,5730
8906,0A1B,5730
1869,0A0B,5730
7986,0A1B,5730
6973,0A2B,5730
3257,0A3B,5730
5072,1A2B,5730
5730,4A0B,5730
