guess,compare,ans
1964,0A1B,3290
6791,1A0B,3290
2671,0A1B,3290
2961,0A2B,3290
8791,1A0B,3290
9371,0A2B,3290
3105,1A1B,3290
5491,1A0B,3290
9041,0A2B,3290
0261,1A1B,3290
1673,0A1B,3290
0376,0A2B,3290
9627,0A2B,3290
0426,0A2B,3290
6782,0A1B,3290
8724,0A1B,3290
0784,0A1B,3290
7089,0A2B,3290
0218,1A1B,3290
8625,0A1B,3290
8965,0A1B,3290
7659,0A1B,3290
6517,0A0B,3290
0569,0A2B,3290
8904,0A2B,3290
3298,3A0B,3290
9843,0A2B,3290
0832,0A3B,3290
0842,0A2B,3290
8394,1A1B,3290
2089,0A3B,3290
8309,0A3B,3290
8239,1A2B,3290
0328,0A3B,3290
2390,2A2B,3290
2930,1A3B,3290
3290,4A0B,3290
