guess,compare,ans
2891,0A2B,4180
1596,0A1B,4180
1905,0A2B,4180
9578,0A1B,4180
8259,0A1B,4180
6958,0A1B,4180
5086,1A1B,4180
8304,0A3B,4180
8504,0A3B,4180
1580,2A1B,4180
5168,1A1B,4180
3801,0A3B,4180
6308,0A2B,4180
3047,0A2B,4180
6107,1A1B,4180
0326,0A1B,4180
2106,1A1B,4180
2341,0A2B,4180
2035,0A1B,4180
2450,1A1B,4180
8270,1A1B,4180
3602,0A1B,4180
0369,0A1B,4180
3506,0A1B,4180
2036,0A1B,4180
6329,0A0B,4180
8260,1A1B,4180
7480,2A1B,4180
0457,0A2B,4180
8514,0A3B,4180
5781,1A1B,4180
0841,0A4B,4180
8041,0A4B,4180
8410,1A3B,4180
8104,1A3B,4180
0418,0A4B,4180
4810,2A2B,4180
1840,1A3B,4180
0814,0A4B,4180
4180,4A0B,4180
