guess,compare,ans
6931,1A1B,5381
6289,1A0B,5381
2789,1A0B,5381
9327,1A0B,5381
2378,1A1B,5381
0123,0A2B,5381
0187,1A1B,5381
4308,1A1B,5381
4015,0A2B,5381
6043,0A1B,5381
4356,1A1B,5381
7658,0A2B,5381
1763,0A2B,5381
1486,1A1B,5381
6210,0A1B,5381
3126,0A2B,5381
5167,1A1B,5381
1327,1A1B,5381
1674,0A1B,5381
4316,1A1B,5381
3459,0A2B,5381
3046,0A1B,5381
1063,0A2B,5381
7403,0A1B,5381
6730,0A1B,5381
1306,1A1B,5381
7034,0A1B,5381
0947,0A0B,5381
0738,0A2B,5381
6328,1A1B,5381
3521,1A2B,5381
8315,1A3B,5381
3185,1A3B,5381
5318,2A2B,5381
3518,0A4B,5381
1358,1A3B,5381
5138,1A3B,5381
5813,1A3B,5381
5381,4A0B,5381
