guess,compare,ans
9061,0A1B,7815
6041,0A1B,7815
4021,0A1B,7815
2541,0A2B,7815
9413,1A0B,7815
9213,1A0B,7815
6329,0A0B,7815
1439,0A1B,7815
3195,1A1B,7815
1405,1A1B,7815
8471,0A3B,7815
1457,0A3B,7815
5148,0A3B,7815
4018,1A1B,7815
7510,2A1B,7815
1074,0A2B,7815
8514,1A2B,7815
1574,0A3B,7815
4750,0A2B,7815
4018,1A1B,7815
0745,1A1B,7815
1874,1A2B,7815
1470,0A2B,7815
0578,0A3B,7815
8150,0A3B,7815
8570,0A3B,7815
8574,0A3B,7815
1478,0A3B,7815
7154,1A2B,7815
4518,1A2B,7815
4578,0A3B,7815
8175,1A3B,7815
7158,1A3B,7815
7851,2A2B,7815
8751,0A4B,7815
5871,1A3B,7815
1857,1A3B,7815
7581,1A3B,7815
7815,4A0B,7815
