guess,compare,ans
2891,2A1B,2781
9521,1A1B,2781
4517,0A2B,2781
0158,0A2B,2781
7408,0A2B,2781
6147,0A2B,2781
3687,1A1B,2781
4138,0A2B,2781
5316,0A1B,2781
0165,0A1B,2781
0153,0A1B,2781
8501,1A1B,2781
9561,1A0B,2781
0591,1A0B,2781
9415,0A1B,2781
1295,0A2B,2781
2813,1A2B,2781
8342,0A2B,2781
4730,1A0B,2781
4732,1A1B,2781
4192,0A2B,2781
2845,1A1B,2781
8305,0A1B,2781
5390,0A0B,2781
1530,0A1B,2781
6053,0A0B,2781
3410,0A1B,2781
7403,0A1B,2781
3471,1A1B,2781
2481,3A0B,2781
7128,0A4B,2781
1287,1A3B,2781
1728,1A3B,2781
7281,2A2B,2781
2781,4A0B,2781
