guess,compare,ans
3847,1A0B,0549
4736,0A1B,0549
4537,1A1B,0549
9174,0A2B,0549
6498,0A2B,0549
3924,0A2B,0549
8409,1A2B,0549
2480,0A2B,0549
5826,0A1B,0549
2358,0A1B,0549
2536,1A0B,0549
9352,0A2B,0549
0729,2A0B,0549
3278,0A0B,0549
9061,0A2B,0549
0645,2A1B,0549
0561,2A0B,0549
5649,2A1B,0549
1569,2A0B,0549
1450,0A3B,0549
4056,0A3B,0549
5609,1A2B,0549
4650,0A3B,0549
1046,1A1B,0549
9065,0A3B,0549
0456,1A2B,0549
0596,2A1B,0549
0651,1A1B,0549
4659,1A2B,0549
4560,1A2B,0549
1564,1A1B,0549
0965,1A2B,0549
6940,1A2B,0549
6504,1A2B,0549
0596,2A1B,0549
1695,0A2B,0549
9604,0A3B,0549
5049,2A2B,0549
4590,1A3B,0549
0549,4A0B,0549
