guess,compare,ans
5486,1A1B,1056
8275,0A1B,1056
0578,0A2B,1056
6079,1A1B,1056
7302,0A1B,1056
0263,0A2B,1056
2496,1A0B,1056
6954,1A1B,1056
7562,0A2B,1056
5187,0A2B,1056
8037,1A0B,1056
3086,2A0B,1056
6025,1A2B,1056
2035,1A1B,1056
3129,0A1B,1056
9813,0A1B,1056
1238,1A0B,1056
1428,1A0B,1056
2813,0A1B,1056
2613,0A2B,1056
8026,2A0B,1056
3098,1A0B,1056
0318,0A2B,1056
4730,0A1B,1056
0973,0A1B,1056
9630,0A2B,1056
3805,0A2B,1056
1587,1A1B,1056
8256,2A0B,1056
9158,1A1B,1056
0138,0A2B,1056
8169,0A2B,1056
8371,0A1B,1056
3175,0A2B,1056
1958,2A0B,1056
1756,3A0B,1056
2176,1A1B,1056
2135,0A2B,1056
1942,1A0B,1056
1056,4A0B,1056
