guess,compare,ans
0827,1A1B,1047
5276,0A1B,1047
2967,1A0B,1047
8967,1A0B,1047
7890,0A2B,1047
7503,0A2B,1047
5231,0A1B,1047
5301,0A2B,1047
8091,1A1B,1047
8361,0A1B,1047
3581,0A1B,1047
5128,0A1B,1047
2801,0A2B,1047
6027,2A0B,1047
8307,1A1B,1047
4093,1A1B,1047
0873,0A2B,1047
3092,1A0B,1047
8203,0A1B,1047
3048,2A0B,1047
2608,0A1B,1047
8162,0A1B,1047
1328,1A0B,1047
0213,0A2B,1047
9218,0A1B,1047
2817,1A1B,1047
8452,0A1B,1047
4289,0A1B,1047
2879,0A1B,1047
2597,1A0B,1047
7509,0A2B,1047
9562,0A0B,1047
3170,0A3B,1047
7430,0A3B,1047
3417,1A2B,1047
7043,2A1B,1047
3701,0A3B,1047
8107,1A2B,1047
8401,0A3B,1047
1047,4A0B,1047
