guess,compare,ans
5837,2A0B,0839
5947,0A1B,0839
6947,0A1B,0839
9634,1A1B,0839
4798,0A2B,0839
4028,0A2B,0839
2031,1A1B,0839
4820,1A1B,0839
8150,0A2B,0839
0354,1A1B,0839
7830,2A1B,0839
8407,0A2B,0839
3749,1A1B,0839
6273,0A1B,0839
6370,0A2B,0839
9807,1A2B,0839
5908,0A3B,0839
0549,2A0B,0839
8439,2A1B,0839
2493,0A2B,0839
1724,0A0B,0839
9368,0A3B,0839
5398,0A3B,0839
0853,2A1B,0839
3905,0A3B,0839
6059,1A1B,0839
9853,1A2B,0839
9865,1A1B,0839
5830,2A1B,0839
6058,0A2B,0839
3950,0A3B,0839
6530,1A1B,0839
9085,0A3B,0839
3950,0A3B,0839
3690,0A3B,0839
6803,1A2B,0839
3508,0A3B,0839
5086,0A2B,0839
5693,0A2B,0839
0839,4A0B,0839
