guess,compare,ans
3917,0A1B,7502
5371,0A2B,7502
9378,0A1B,7502
8374,0A1B,7502
4287,0A2B,7502
4856,0A1B,7502
5462,1A1B,7502
9635,0A1B,7502
6390,0A1B,7502
0365,0A2B,7502
5126,0A2B,7502
5360,0A2B,7502
7960,1A1B,7502
9654,0A1B,7502
4925,0A2B,7502
9517,1A1B,7502
9354,0A1B,7502
3405,1A1B,7502
2103,1A1B,7502
6093,0A1B,7502
9670,0A2B,7502
9371,0A1B,7502
9513,1A0B,7502
1357,0A2B,7502
1695,0A1B,7502
6125,0A2B,7502
0692,1A1B,7502
6380,0A1B,7502
9386,0A0B,7502
3605,1A1B,7502
7540,2A1B,7502
5420,0A3B,7502
2410,0A2B,7502
0751,0A3B,7502
0147,0A2B,7502
2705,1A3B,7502
0725,0A4B,7502
7052,2A2B,7502
0752,1A3B,7502
7502,4A0B,7502
