guess,compare,ans
1356,0A2B,3068
5394,0A1B,3068
2539,0A1B,3068
1932,0A1B,3068
8329,0A2B,3068
4852,0A1B,3068
8204,0A2B,3068
0134,0A2B,3068
0127,0A1B,3068
9072,1A0B,3068
0728,1A1B,3068
7123,0A1B,3068
1872,0A1B,3068
6871,0A2B,3068
8793,0A2B,3068
6958,1A1B,3068
3628,2A1B,3068
3258,2A0B,3068
9128,1A0B,3068
8412,0A1B,3068
1243,0A1B,3068
1482,0A1B,3068
4712,0A0B,3068
4918,1A0B,3068
1483,0A2B,3068
6830,0A4B,3068
8360,1A3B,3068
6803,0A4B,3068
8306,0A4B,3068
6308,1A3B,3068
3608,2A2B,3068
0638,1A3B,3068
8603,0A4B,3068
3068,4A0B,3068
