guess,compare,ans
1825,1A2B,6285
8295,2A1B,6285
9428,0A2B,6285
2683,1A2B,6285
2468,0A3B,6285
8672,0A3B,6285
6824,1A2B,6285
4823,0A2B,6285
8627,0A3B,6285
8126,0A3B,6285
6198,1A1B,6285
9578,0A2B,6285
4982,1A1B,6285
6542,1A2B,6285
5423,0A2B,6285
4289,2A0B,6285
0987,1A0B,6285
0378,0A1B,6285
5307,0A1B,6285
0653,0A2B,6285
9052,0A2B,6285
9751,0A1B,6285
8915,1A1B,6285
8741,0A1B,6285
2418,0A2B,6285
4615,1A1B,6285
8619,0A2B,6285
2614,0A2B,6285
6523,1A2B,6285
6725,2A1B,6285
2597,0A2B,6285
8675,1A2B,6285
6571,1A1B,6285
1789,1A0B,6285
1578,0A2B,6285
2951,0A2B,6285
9342,0A1B,6285
4390,0A0B,6285
2594,0A2B,6285
6285,4A0B,6285
