guess,compare,ans
8390,0A2B,5139
3867,0A1B,5139
8364,0A1B,5139
3248,0A1B,5139
4138,2A0B,5139
5478,1A0B,5139
0754,0A1B,5139
0417,0A1B,5139
0712,0A1B,5139
6071,0A1B,5139
7603,0A1B,5139
6573,0A2B,5139
5269,2A0B,5139
5093,1A2B,5139
1530,1A2B,5139
0136,2A0B,5139
5138,3A0B,5139
4315,0A3B,5139
3524,0A2B,5139
4185,1A1B,5139
6085,0A1B,5139
4508,0A1B,5139
6584,0A1B,5139
1856,0A2B,5139
6829,1A0B,5139
9260,0A1B,5139
2039,2A0B,5139
9274,0A1B,5139
4912,0A2B,5139
5791,1A2B,5139
3951,0A4B,5139
3519,1A3B,5139
3591,0A4B,5139
9513,0A4B,5139
5913,1A3B,5139
5391,1A3B,5139
1395,0A4B,5139
1359,1A3B,5139
5931,2A2B,5139
5139,4A0B,5139
