guess,compare,ans
6485,0A2B,7543
4387,0A3B,7543
3548,2A1B,7543
2854,0A2B,7543
9234,0A2B,7543
0742,1A1B,7543
8324,0A2B,7543
1034,0A2B,7543
4716,0A2B,7543
3426,0A2B,7543
3721,0A2B,7543
2156,0A1B,7543
5681,0A1B,7543
9851,0A1B,7543
5182,0A1B,7543
5168,0A1B,7543
1564,1A1B,7543
0496,0A1B,7543
0439,0A2B,7543
4951,0A2B,7543
1279,0A1B,7543
2795,0A2B,7543
6978,0A1B,7543
6894,0A1B,7543
9682,0A0B,7543
9867,0A1B,7543
7658,1A1B,7543
5071,0A2B,7543
3745,1A3B,7543
4375,0A4B,7543
7354,1A3B,7543
4573,2A2B,7543
5473,1A3B,7543
7543,4A0B,7543
