guess,compare,ans
7851,0A1B,4280
3715,0A0B,4280
7218,1A1B,4280
2984,1A2B,4280
9240,2A1B,4280
9248,1A2B,4280
2940,1A2B,4280
0694,0A2B,4280
8962,0A2B,4280
6084,1A2B,4280
2846,0A3B,4280
2849,0A3B,4280
2098,0A3B,4280
8296,1A1B,4280
6490,1A1B,4280
9268,1A1B,4280
4680,3A0B,4280
8426,0A3B,4280
6280,3A0B,4280
4068,1A2B,4280
8694,0A2B,4280
8092,0A3B,4280
4890,2A1B,4280
8964,0A2B,4280
6240,2A1B,4280
9260,2A0B,4280
4089,2A1B,4280
0468,0A3B,4280
6940,1A1B,4280
9248,1A2B,4280
9468,0A2B,4280
2608,0A3B,4280
9826,0A2B,4280
0462,0A3B,4280
0682,1A2B,4280
0482,1A3B,4280
0842,0A4B,4280
4208,2A2B,4280
2408,0A4B,4280
4280,4A0B,4280
