guess,compare,ans
7682,0A1B,3579
7642,0A1B,3579
7421,0A1B,3579
7418,0A1B,3579
8541,1A0B,3579
7185,0A2B,3579
6051,0A1B,3579
5630,0A2B,3579
9640,0A1B,3579
0941,0A1B,3579
4031,0A1B,3579
2041,0A0B,3579
0173,1A1B,3579
9783,0A3B,3579
3758,1A2B,3579
6738,0A2B,3579
7695,0A3B,3579
8765,0A2B,3579
3987,1A2B,3579
3769,2A1B,3579
6978,1A1B,3579
6358,0A2B,3579
5967,0A3B,3579
7589,2A1B,3579
7865,0A2B,3579
3976,2A1B,3579
3576,3A0B,3579
6583,1A1B,3579
3879,3A0B,3579
7896,0A2B,3579
3578,3A0B,3579
3957,1A3B,3579
5973,1A3B,3579
9537,1A3B,3579
9357,0A4B,3579
9375,1A3B,3579
5937,0A4B,3579
5397,0A4B,3579
7359,1A3B,3579
3579,4A0B,3579
