guess,compare,ans
9278,0A2B,5942
5948,3A0B,5942
0958,1A1B,5942
6015,0A1B,5942
9165,0A2B,5942
9845,1A2B,5942
6859,0A2B,5942
7498,0A2B,5942
7405,0A2B,5942
0419,0A2B,5942
9307,0A1B,5942
3609,0A1B,5942
6032,1A0B,5942
9320,0A2B,5942
7423,0A2B,5942
3154,0A2B,5942
9741,1A1B,5942
7130,0A0B,5942
9642,2A1B,5942
2846,1A1B,5942
9825,0A3B,5942
9428,0A3B,5942
2896,0A2B,5942
2548,1A2B,5942
8249,1A2B,5942
2589,0A3B,5942
8294,0A3B,5942
4698,0A2B,5942
5962,3A0B,5942
9258,0A3B,5942
8926,1A1B,5942
2945,2A2B,5942
9425,0A4B,5942
9245,1A3B,5942
4925,1A3B,5942
5942,4A0B,5942
