guess,compare,ans
9213,0A1B,1875
1952,1A1B,1875
3659,0A1B,1875
2539,0A1B,1875
9053,0A1B,1875
1935,2A0B,1875
9580,0A2B,1875
2845,2A0B,1875
9526,0A1B,1875
5092,0A1B,1875
1025,2A0B,1875
8290,0A1B,1875
0529,0A1B,1875
0629,0A0B,1875
9280,0A1B,1875
2398,0A1B,1875
8192,0A2B,1875
3718,0A3B,1875
1473,2A0B,1875
5318,0A3B,1875
7831,1A2B,1875
3741,0A2B,1875
5487,0A3B,1875
8451,0A3B,1875
3815,2A1B,1875
3145,1A1B,1875
7584,0A3B,1875
5378,1A2B,1875
5718,0A4B,1875
5817,1A3B,1875
7815,2A2B,1875
8715,1A3B,1875
1875,4A0B,1875
