guess,compare,ans
8457,0A3B,7540
4573,1A2B,7540
4576,1A2B,7540
5247,1A2B,7540
4253,0A2B,7540
1405,0A3B,7540
4158,0A2B,7540
3456,0A2B,7540
3067,0A2B,7540
7850,2A1B,7540
5079,0A3B,7540
0749,1A2B,7540
3709,0A2B,7540
7192,1A0B,7540
5127,0A2B,7540
7169,1A0B,7540
4716,0A2B,7540
8197,0A1B,7540
7193,1A0B,7540
7123,1A0B,7540
6732,0A1B,7540
3761,0A1B,7540
9637,0A1B,7540
3694,0A1B,7540
6459,0A2B,7540
2754,0A3B,7540
2345,1A1B,7540
8735,0A2B,7540
3207,0A2B,7540
4026,0A2B,7540
0453,0A3B,7540
3745,1A2B,7540
7405,1A3B,7540
0457,0A4B,7540
7450,2A2B,7540
4750,1A3B,7540
5470,1A3B,7540
7540,4A0B,7540
