guess,compare,ans
3807,1A1B,2608
7392,0A1B,2608
9276,0A2B,2608
6215,0A2B,2608
4675,1A0B,2608
7615,1A0B,2608
2561,1A1B,2608
5971,0A0B,2608
2063,1A2B,2608
8603,2A1B,2608
3648,2A0B,2608
6203,1A2B,2608
4032,0A2B,2608
4860,0A3B,2608
4036,0A2B,2608
3862,0A3B,2608
3264,0A2B,2608
2084,1A2B,2608
8642,1A2B,2608
8436,0A2B,2608
2406,2A1B,2608
4028,1A2B,2608
8642,1A2B,2608
0864,0A3B,2608
8340,0A2B,2608
8264,0A3B,2608
6024,0A3B,2608
0234,0A2B,2608
0836,0A3B,2608
2806,2A2B,2608
6280,0A4B,2608
8206,1A3B,2608
0826,0A4B,2608
6802,1A3B,2608
2086,1A3B,2608
2608,4A0B,2608
