guess,compare,ans
5183,1A0B,6043
3516,0A2B,6043
6219,1A0B,6043
1298,0A0B,6043
1369,0A2B,6043
7364,0A3B,6043
6354,1A2B,6043
5367,0A2B,6043
5064,1A2B,6043
4305,0A3B,6043
5463,1A2B,6043
6035,2A1B,6043
3456,0A3B,6043
7654,0A2B,6043
3470,0A3B,6043
5430,0A3B,6043
6453,2A1B,6043
3674,0A3B,6043
4073,2A1B,6043
4706,0A3B,6043
3740,1A2B,6043
0543,2A1B,6043
4370,0A3B,6043
4637,0A3B,6043
4073,2A1B,6043
3075,1A1B,6043
7064,1A2B,6043
7360,0A3B,6043
7503,1A1B,6043
0647,1A2B,6043
4057,1A1B,6043
0563,1A2B,6043
5037,1A1B,6043
4306,0A4B,6043
0436,0A4B,6043
3640,1A3B,6043
3604,0A4B,6043
0346,1A3B,6043
6034,2A2B,6043
6043,4A0B,6043
