guess,compare,ans
0516,0A2B,6921
5634,0A1B,6921
5746,0A1B,6921
0654,0A1B,6921
3640,0A1B,6921
6349,1A1B,6921
4792,0A2B,6921
9208,0A2B,6921
7826,1A1B,6921
6907,2A0B,6921
6547,1A0B,6921
3546,0A1B,6921
6483,1A0B,6921
5468,0A1B,6921
9658,0A2B,6921
2758,0A1B,6921
1825,1A1B,6921
1348,0A1B,6921
8417,0A1B,6921
1870,0A1B,6921
8571,1A0B,6921
4751,1A0B,6921
3741,1A0B,6921
1047,0A1B,6921
2410,0A2B,6921
5170,0A1B,6921
7590,0A1B,6921
0927,2A0B,6921
6420,2A0B,6921
5092,0A2B,6921
4085,0A0B,6921
2139,0A3B,6921
2619,0A4B,6921
9612,0A4B,6921
2961,2A2B,6921
9261,1A3B,6921
6921,4A0B,6921
