guess,compare,ans
9672,1A1B,2170
6074,1A1B,2170
2690,2A0B,2170
9503,0A1B,2170
1053,0A2B,2170
2536,1A0B,2170
3056,0A1B,2170
7653,0A1B,2170
6875,1A0B,2170
9768,0A1B,2170
6719,0A2B,2170
0397,0A2B,2170
6017,0A3B,2170
6780,1A1B,2170
1470,2A1B,2170
7241,0A3B,2170
0427,0A3B,2170
4827,0A2B,2170
2403,1A1B,2170
3629,0A1B,2170
2896,1A0B,2170
1928,0A2B,2170
6159,1A0B,2170
9153,1A0B,2170
7315,0A2B,2170
7291,0A3B,2170
6179,2A0B,2170
8792,0A2B,2170
3429,0A1B,2170
2739,1A1B,2170
6370,2A0B,2170
5309,0A1B,2170
0583,0A1B,2170
5903,0A1B,2170
7935,0A1B,2170
8739,0A1B,2170
7198,1A1B,2170
8935,0A0B,2170
6721,0A3B,2170
2170,4A0B,2170
