guess,compare,ans
1890,1A1B,1924
0485,0A1B,1924
5034,1A0B,1924
6430,0A1B,1924
4703,0A1B,1924
7490,0A2B,1924
7485,0A1B,1924
5437,0A1B,1924
1753,1A0B,1924
3617,0A1B,1924
3614,1A1B,1924
1067,1A0B,1924
7501,0A1B,1924
0591,0A2B,1924
7516,0A1B,1924
5976,1A0B,1924
6792,0A2B,1924
7546,0A1B,1924
6572,0A1B,1924
3572,0A1B,1924
8523,1A0B,1924
8273,0A1B,1924
8937,1A0B,1924
7863,0A0B,1924
5978,1A0B,1924
7259,0A2B,1924
0294,1A2B,1924
2190,0A3B,1924
0142,0A3B,1924
2015,0A2B,1924
4091,0A3B,1924
0129,1A2B,1924
9251,0A3B,1924
0129,1A2B,1924
4912,1A3B,1924
9412,0A4B,1924
9214,1A3B,1924
2149,0A4B,1924
9421,1A3B,1924
1924,4A0B,1924
