guess,compare,ans
2693,0A3B,9302
3249,0A3B,9302
2948,0A2B,9302
3189,0A2B,9302
3687,0A1B,9302
6538,0A1B,9302
5983,0A2B,9302
5480,0A1B,9302
4835,0A1B,9302
9543,1A1B,9302
2639,0A3B,9302
9672,2A0B,9302
6205,1A1B,9302
0578,0A1B,9302
0475,0A1B,9302
7506,1A0B,9302
0165,0A1B,9302
1305,2A0B,9302
7205,1A1B,9302
7932,1A2B,9302
9274,1A1B,9302
7901,1A1B,9302
1437,0A1B,9302
7934,0A2B,9302
3190,0A3B,9302
1809,1A1B,9302
2590,0A3B,9302
9650,1A1B,9302
9634,1A1B,9302
4768,0A0B,9302
9203,2A2B,9302
3092,1A3B,9302
2903,1A3B,9302
0293,0A4B,9302
3209,1A3B,9302
9023,1A3B,9302
9302,4A0B,9302
