guess,compare,ans
5928,0A1B,1540
4928,0A1B,1540
8490,1A1B,1540
3907,0A1B,1540
5907,0A2B,1540
9371,0A1B,1540
5791,0A2B,1540
7108,0A2B,1540
8472,0A1B,1540
4217,0A2B,1540
3192,0A1B,1540
7219,0A1B,1540
1970,2A0B,1540
9627,0A0B,1540
3014,0A3B,1540
5431,0A3B,1540
1834,1A1B,1540
1503,2A1B,1540
8351,0A2B,1540
0184,0A3B,1540
8103,0A2B,1540
8514,1A2B,1540
4183,0A2B,1540
0358,0A2B,1540
4103,0A3B,1540
5310,1A2B,1540
5034,0A3B,1540
1043,2A1B,1540
5413,0A3B,1540
0431,0A3B,1540
4108,0A3B,1540
8340,2A0B,1540
1580,3A0B,1540
0351,0A3B,1540
5034,0A3B,1540
0384,0A2B,1540
8145,1A2B,1540
5348,1A1B,1540
4310,1A2B,1540
1540,4A0B,1540
