guess,compare,ans
8927,1A0B,5607
7592,0A2B,5607
8497,1A0B,5607
9864,0A1B,5607
6492,0A1B,5607
3629,1A0B,5607
2630,1A1B,5607
7096,0A3B,5607
1097,1A1B,5607
2697,2A0B,5607
9057,1A2B,5607
5940,1A1B,5607
0643,1A1B,5607
7416,0A2B,5607
6270,0A3B,5607
8762,0A2B,5607
7958,0A2B,5607
2678,1A1B,5607
6148,0A1B,5607
8426,0A1B,5607
5428,1A0B,5607
3285,0A1B,5607
5821,1A0B,5607
2184,0A0B,5607
1538,0A1B,5607
3508,1A1B,5607
9570,0A3B,5607
3597,1A1B,5607
3067,1A2B,5607
3069,0A2B,5607
7953,0A2B,5607
9605,2A1B,5607
5709,2A1B,5607
5697,3A0B,5607
0567,1A3B,5607
5067,2A2B,5607
6057,1A3B,5607
7065,0A4B,5607
5607,4A0B,5607
