guess,compare,ans
8593,0A1B,5260
8573,0A1B,5260
2873,0A1B,5260
2638,0A2B,5260
4860,2A0B,5260
6182,0A2B,5260
6513,0A2B,5260
1627,0A2B,5260
2374,0A1B,5260
3462,1A1B,5260
0162,1A2B,5260
0681,0A2B,5260
2381,0A1B,5260
5813,1A0B,5260
6831,0A1B,5260
1867,1A0B,5260
6819,0A1B,5260
1687,0A1B,5260
8760,2A0B,5260
3609,0A2B,5260
7653,0A2B,5260
0759,0A2B,5260
4207,1A1B,5260
7690,1A1B,5260
8269,2A0B,5260
7639,0A1B,5260
9137,0A0B,5260
9237,1A0B,5260
0293,1A1B,5260
5620,2A2B,5260
6025,0A4B,5260
6520,1A3B,5260
2650,1A3B,5260
0625,0A4B,5260
5260,4A0B,5260
