guess,compare,ans
6710,0A1B,7542
1967,0A1B,7542
0971,0A1B,7542
2097,0A2B,7542
4210,0A2B,7542
1645,1A1B,7542
4583,1A1B,7542
5362,1A1B,7542
6703,0A1B,7542
3702,1A1B,7542
7049,2A0B,7542
9846,1A0B,7542
3469,0A1B,7542
6329,0A1B,7542
8639,0A0B,7542
0269,0A1B,7542
9012,1A0B,7542
9124,0A2B,7542
4175,0A3B,7542
4170,0A2B,7542
4521,1A2B,7542
5021,0A2B,7542
4507,1A2B,7542
1504,1A1B,7542
1274,0A3B,7542
7451,1A2B,7542
0471,0A2B,7542
2540,2A1B,7542
1245,1A2B,7542
1274,0A3B,7542
0742,2A1B,7542
4502,2A1B,7542
7405,1A2B,7542
5204,0A3B,7542
5704,0A3B,7542
4205,0A3B,7542
2015,0A2B,7542
1427,0A3B,7542
1470,0A2B,7542
7542,4A0B,7542
