guess,compare,ans
8930,1A2B,0963
3028,0A2B,0963
1732,0A1B,0963
2179,0A1B,0963
3129,0A2B,0963
5361,1A1B,0963
9436,0A3B,0963
3904,1A2B,0963
0973,3A0B,0963
9023,1A2B,0963
3190,0A3B,0963
3108,0A2B,0963
2170,0A1B,0963
3721,0A1B,0963
9713,1A1B,0963
3968,2A1B,0963
3809,0A3B,0963
3978,1A1B,0963
5870,0A1B,0963
5670,0A2B,0963
2547,0A0B,0963
6089,0A3B,0963
8091,0A2B,0963
6391,0A3B,0963
3109,0A3B,0963
3169,1A2B,0963
1360,1A2B,0963
6138,0A2B,0963
0936,2A2B,0963
6390,0A4B,0963
9036,0A4B,0963
3906,1A3B,0963
6930,1A3B,0963
0396,1A3B,0963
0639,1A3B,0963
0963,4A0B,0963
