guess,compare,ans
4186,1A2B,5416
6487,1A1B,5416
1843,0A2B,5416
1298,0A1B,5416
5182,1A1B,5416
2594,0A2B,5416
2501,0A2B,5416
5890,1A0B,5416
5920,1A0B,5416
5901,1A1B,5416
5369,1A1B,5416
4376,1A1B,5416
8623,0A1B,5416
8312,1A0B,5416
2718,1A0B,5416
8731,0A1B,5416
3819,1A0B,5416
7813,1A0B,5416
8751,0A2B,5416
1438,1A1B,5416
6180,0A2B,5416
6740,0A2B,5416
8710,1A0B,5416
0381,0A1B,5416
8093,0A0B,5416
0187,0A1B,5416
7128,0A1B,5416
5128,1A1B,5416
4162,0A3B,5416
6271,0A2B,5416
4526,1A2B,5416
4275,0A2B,5416
2615,1A2B,5416
6172,0A2B,5416
4651,0A4B,5416
1645,0A4B,5416
6145,0A4B,5416
5614,2A2B,5416
6514,1A3B,5416
5416,4A0B,5416
