guess,compare,ans
7062,1A1B,7684
7316,1A1B,7684
0143,0A1B,7684
3541,0A1B,7684
4318,0A2B,7684
4637,1A2B,7684
8637,1A2B,7684
6038,0A2B,7684
9687,2A1B,7684
7268,1A2B,7684
2067,0A2B,7684
7901,1A0B,7684
0196,0A1B,7684
0716,0A2B,7684
6753,0A2B,7684
7590,1A0B,7684
7503,1A0B,7684
5403,0A1B,7684
3420,0A1B,7684
3482,1A1B,7684
6352,0A1B,7684
6358,0A2B,7684
9834,1A1B,7684
2940,0A1B,7684
9208,0A1B,7684
0489,1A1B,7684
2405,0A1B,7684
4720,0A2B,7684
1046,0A2B,7684
8143,0A2B,7684
8370,0A2B,7684
0198,0A1B,7684
0289,1A0B,7684
0824,1A1B,7684
0768,0A3B,7684
6804,1A2B,7684
5064,1A1B,7684
6159,0A1B,7684
0569,0A1B,7684
7684,4A0B,7684
