guess,compare,ans
5638,3A0B,5631
5376,1A2B,5631
9563,0A3B,5631
6905,0A2B,5631
9385,0A2B,5631
6537,1A2B,5631
5076,1A1B,5631
2687,1A0B,5631
7869,0A1B,5631
5697,2A0B,5631
2650,1A1B,5631
5701,2A0B,5631
1852,0A2B,5631
8456,0A2B,5631
0814,0A1B,5631
8124,0A1B,5631
4081,1A0B,5631
0618,1A1B,5631
6913,0A3B,5631
0691,2A0B,5631
9763,0A2B,5631
7106,0A2B,5631
8762,0A1B,5631
6829,0A1B,5631
6921,1A1B,5631
8963,0A2B,5631
4619,1A1B,5631
2645,1A1B,5631
7459,0A1B,5631
6479,0A1B,5631
6741,1A1B,5631
4397,0A1B,5631
9754,0A1B,5631
0457,0A1B,5631
0714,0A1B,5631
4670,1A0B,5631
0768,0A1B,5631
8907,0A0B,5631
8726,0A1B,5631
5631,4A0B,5631
