guess,compare,ans
3087,0A2B,8179
6071,1A1B,8179
1236,0A1B,8179
3641,0A1B,8179
6931,0A2B,8179
1234,0A1B,8179
2351,0A1B,8179
5103,1A0B,8179
0371,1A1B,8179
5613,0A1B,8179
5168,1A1B,8179
9451,0A2B,8179
9625,0A1B,8179
9362,0A1B,8179
6902,0A1B,8179
9820,0A2B,8179
0538,0A1B,8179
3408,0A1B,8179
4138,1A1B,8179
6147,1A1B,8179
2173,2A0B,8179
4613,0A1B,8179
3124,1A0B,8179
2416,0A1B,8179
2196,1A1B,8179
7194,1A2B,8179
0791,0A3B,8179
8197,2A2B,8179
1798,0A4B,8179
1897,0A4B,8179
9187,1A3B,8179
7198,1A3B,8179
8917,1A3B,8179
8791,1A3B,8179
8179,4A0B,8179
