guess,compare,ans
9704,1A0B,6781
8904,0A1B,6781
0189,1A1B,6781
9582,1A0B,6781
9128,0A2B,6781
5908,0A1B,6781
0198,0A2B,6781
1697,0A3B,6781
1709,1A1B,6781
0261,1A1B,6781
5726,1A1B,6781
4072,0A1B,6781
9740,1A0B,6781
7914,0A2B,6781
5984,1A0B,6781
3498,0A1B,6781
8324,0A1B,6781
3487,1A1B,6781
3850,0A1B,6781
0537,0A1B,6781
0367,0A2B,6781
3901,1A0B,6781
3921,1A0B,6781
2091,1A0B,6781
4219,0A1B,6781
9234,0A0B,6781
7124,0A2B,6781
8701,2A1B,6781
6081,3A0B,6781
1506,0A2B,6781
0785,2A0B,6781
1670,0A3B,6781
6078,1A2B,6781
8710,1A2B,6781
8157,0A3B,6781
1705,1A1B,6781
8706,1A2B,6781
0765,1A1B,6781
1850,0A2B,6781
0761,2A1B,6781
7068,0A3B,6781
8605,0A2B,6781
0178,0A3B,6781
0578,0A2B,6781
7106,0A3B,6781
5016,0A2B,6781
8765,1A2B,6781
5087,1A1B,6781
6158,1A2B,6781
6175,1A2B,6781
7051,1A1B,6781
6518,1A2B,6781
8605,0A2B,6781
1570,0A2B,6781
1786,2A2B,6781
8176,0A4B,6781
7186,1A3B,6781
8716,1A3B,6781
6781,4A0B,6781
