guess,compare,ans
9657,1A1B,7612
3546,0A1B,7612
5341,0A1B,7612
1456,0A2B,7612
4259,0A1B,7612
2859,0A1B,7612
1895,0A1B,7612
1956,0A2B,7612
2960,0A2B,7612
7019,2A0B,7612
6941,0A2B,7612
0869,0A1B,7612
6930,0A1B,7612
8963,0A1B,7612
6934,0A1B,7612
0946,0A1B,7612
9407,0A1B,7612
7690,2A0B,7612
9631,1A1B,7612
7293,1A1B,7612
5302,1A0B,7612
8032,1A0B,7612
8039,0A0B,7612
2358,0A1B,7612
5482,1A0B,7612
5218,1A1B,7612
5642,2A0B,7612
2174,0A3B,7612
4175,0A2B,7612
4526,0A2B,7612
6127,0A4B,7612
1762,1A3B,7612
2761,0A4B,7612
2671,1A3B,7612
7126,1A3B,7612
1267,0A4B,7612
7612,4A0B,7612
