guess,compare,ans
1572,1A1B,1234
7294,2A0B,1234
0243,1A2B,1234
3460,0A2B,1234
2350,0A2B,1234
3106,0A2B,1234
7261,1A1B,1234
2078,0A1B,1234
2980,0A1B,1234
9238,2A0B,1234
9063,0A1B,1234
6350,0A1B,1234
5308,0A1B,1234
3708,0A1B,1234
2830,1A1B,1234
6708,0A0B,1234
9324,1A2B,1234
2453,0A3B,1234
9523,0A2B,1234
3941,0A3B,1234
1539,2A0B,1234
4912,0A3B,1234
3291,1A2B,1234
2315,0A3B,1234
2193,0A3B,1234
5293,1A1B,1234
9451,0A2B,1234
1293,2A1B,1234
2341,0A4B,1234
3124,1A3B,1234
1243,2A2B,1234
2143,0A4B,1234
4213,1A3B,1234
3241,1A3B,1234
1423,1A3B,1234
1342,1A3B,1234
1234,4A0B,1234
